Date,Open,High,Low,Close,Volume,Turnover
2017-01-02,8210.1,8212.0,8133.8,8179.5,122016111,52554900000.0
2017-01-03,8196.05,8219.1,8148.6,8192.25,131186021,60536700000.0
2017-01-04,8202.65,8218.5,8180.9,8190.5,136476345,65431300000.0
2017-01-05,8226.65,8282.65,8223.7,8273.8,163957452,81806800000.0
2017-01-06,8281.85,8306.85,8233.25,8243.8,143689850,72987400000.0
2017-01-09,8259.35,8263.0,8227.75,8236.05,102211190,51976200000.0
2017-01-10,8262.7,8293.8,8261.0,8288.6,147312927,69045700000.0
2017-01-11,8327.8,8389.0,8322.25,8380.65,192285417,89386800000.0
2017-01-12,8391.05,8417.2,8382.3,8407.2,177948383,73592400000.0
2017-01-13,8457.65,8461.05,8373.15,8400.35,190949616,91561600000.0
2017-01-16,8390.95,8426.7,8374.4,8412.8,127938836,60436700000.0
2017-01-17,8415.05,8440.9,8378.3,8398.0,125781216,63892100000.0
2017-01-18,8403.85,8460.3,8397.4,8417.0,168867039,74112300000.0
2017-01-19,8418.4,8445.15,8404.05,8435.1,170956149,73241400000.0
2017-01-20,8404.35,8423.65,8340.95,8349.35,208901233,90145100000.0
2017-01-23,8329.6,8404.15,8327.2,8391.5,200993100,86649400000.0
2017-01-24,8407.05,8480.95,8398.15,8475.8,184745781,85241700000.0
2017-01-25,8499.45,8612.6,8493.95,8602.75,301490150,139018900000.0
2017-01-27,8610.5,8672.7,8606.9,8641.25,283905821,115689200000.0
2017-01-30,8635.55,8662.6,8617.75,8632.75,314110760,93334900000.0
2017-01-31,8629.45,8631.75,8552.4,8561.3,537110119,147211700000.0
2017-02-01,8570.35,8722.4,8537.5,8716.4,337797412,134940500000.0
2017-02-02,8724.75,8757.6,8685.8,8734.25,292329202,115550200000.0
2017-02-03,8735.15,8748.25,8707.75,8740.95,196936238,81934500000.0
2017-02-06,8785.45,8814.1,8770.2,8801.05,200403782,87015100000.0
2017-02-07,8805.7,8809.3,8741.05,8768.3,233294532,90606299999.99998
2017-02-08,8774.55,8791.25,8715.0,8769.05,225485726,91102400000.0
2017-02-09,8795.55,8821.4,8724.1,8778.4,193282248,89726700000.0
2017-02-10,8812.35,8822.1,8771.2,8793.55,232947341,103201700000.0
